query_id,doc_id
tc_1,concat_tc_1
tc_3,concat_tc_3
tc_5,concat_tc_5
tc_8,concat_tc_8
tc_9,concat_tc_9
tc_10,concat_tc_10
tc_11,concat_tc_11
tc_15,concat_tc_15
tc_16,concat_tc_16
tc_17,concat_tc_17
tc_18,concat_tc_18
tc_19,concat_tc_19
tc_21,concat_tc_21
tc_22,concat_tc_22
tc_23,concat_tc_23
tc_24,concat_tc_24
tc_25,concat_tc_25
tc_26,concat_tc_26
tc_27,concat_tc_27
tc_28,concat_tc_28
tc_30,concat_tc_30
tc_31,concat_tc_31
tc_32,concat_tc_32
tc_36,concat_tc_36
tc_38,concat_tc_38
tc_39,concat_tc_39
tc_41,concat_tc_41
tc_43,concat_tc_43
tc_44,concat_tc_44
tc_45,concat_tc_45
tc_46,concat_tc_46
tc_47,concat_tc_47
tc_48,concat_tc_48
tc_50,concat_tc_50
tc_52,concat_tc_52
tc_53,concat_tc_53
tc_54,concat_tc_54
tc_55,concat_tc_55
tc_57,concat_tc_57
tc_58,concat_tc_58
tc_60,concat_tc_60
tc_61,concat_tc_61
tc_63,concat_tc_63
tc_65,concat_tc_65
tc_66,concat_tc_66
tc_67,concat_tc_67
tc_68,concat_tc_68
tc_70,concat_tc_70
tc_72,concat_tc_72
tc_77,concat_tc_77
tc_78,concat_tc_78
tc_80,concat_tc_80
tc_81,concat_tc_81
tc_82,concat_tc_82
tc_84,concat_tc_84
tc_85,concat_tc_85
tc_86,concat_tc_86
tc_87,concat_tc_87
tc_88,concat_tc_88
tc_90,concat_tc_90
tc_91,concat_tc_91
tc_94,concat_tc_94
tc_96,concat_tc_96
tc_97,concat_tc_97
tc_98,concat_tc_98
tc_99,concat_tc_99
tc_100,concat_tc_100
tc_101,concat_tc_101
tc_102,concat_tc_102
tc_103,concat_tc_103
tc_104,concat_tc_104
tc_107,concat_tc_107
tc_108,concat_tc_108
tc_109,concat_tc_109
tc_110,concat_tc_110
tc_111,concat_tc_111
tc_112,concat_tc_112
tc_113,concat_tc_113
tc_114,concat_tc_114
tc_115,concat_tc_115
tc_117,concat_tc_117
tc_120,concat_tc_120
tc_123,concat_tc_123
tc_124,concat_tc_124
tc_125,concat_tc_125
tc_126,concat_tc_126
tc_127,concat_tc_127
tc_128,concat_tc_128
tc_130,concat_tc_130
tc_131,concat_tc_131
tc_132,concat_tc_132
tc_134,concat_tc_134
tc_135,concat_tc_135
tc_136,concat_tc_136
tc_138,concat_tc_138
tc_139,concat_tc_139
tc_140,concat_tc_140
tc_141,concat_tc_141
tc_145,concat_tc_145
tc_146,concat_tc_146
tc_150,concat_tc_150
tc_154,concat_tc_154
tc_155,concat_tc_155
tc_164,concat_tc_164
tc_166,concat_tc_166
tc_168,concat_tc_168
tc_171,concat_tc_171
tc_175,concat_tc_175
tc_179,concat_tc_179
tc_184,concat_tc_184
tc_186,concat_tc_186
tc_190,concat_tc_190
tc_194,concat_tc_194
tc_196,concat_tc_196
tc_198,concat_tc_198
tc_199,concat_tc_199
tc_205,concat_tc_205
tc_206,concat_tc_206
tc_207,concat_tc_207
tc_209,concat_tc_209
tc_210,concat_tc_210
tc_211,concat_tc_211
tc_212,concat_tc_212
tc_215,concat_tc_215
tc_218,concat_tc_218
tc_220,concat_tc_220
tc_221,concat_tc_221
tc_223,concat_tc_223
tc_224,concat_tc_224
tc_225,concat_tc_225
tc_227,concat_tc_227
tc_228,concat_tc_228
tc_229,concat_tc_229
tc_230,concat_tc_230
tc_231,concat_tc_231
tc_232,concat_tc_232
tc_235,concat_tc_235
tc_236,concat_tc_236
tc_237,concat_tc_237
tc_238,concat_tc_238
tc_239,concat_tc_239
tc_240,concat_tc_240
tc_242,concat_tc_242
tc_243,concat_tc_243
tc_244,concat_tc_244
tc_246,concat_tc_246
tc_247,concat_tc_247
tc_248,concat_tc_248
tc_249,concat_tc_249
tc_252,concat_tc_252
tc_256,concat_tc_256
tc_257,concat_tc_257
tc_258,concat_tc_258
tc_259,concat_tc_259
tc_260,concat_tc_260
tc_262,concat_tc_262
tc_264,concat_tc_264
tc_265,concat_tc_265
tc_266,concat_tc_266
tc_268,concat_tc_268
tc_269,concat_tc_269
tc_270,concat_tc_270
tc_271,concat_tc_271
tc_272,concat_tc_272
tc_273,concat_tc_273
tc_274,concat_tc_274
tc_275,concat_tc_275
tc_277,concat_tc_277
tc_278,concat_tc_278
tc_279,concat_tc_279
tc_284,concat_tc_284
tc_285,concat_tc_285
tc_287,concat_tc_287
tc_289,concat_tc_289
tc_290,concat_tc_290
tc_291,concat_tc_291
tc_292,concat_tc_292
tc_294,concat_tc_294
tc_295,concat_tc_295
tc_296,concat_tc_296
tc_297,concat_tc_297
tc_299,concat_tc_299
tc_300,concat_tc_300
tc_301,concat_tc_301
tc_302,concat_tc_302
tc_303,concat_tc_303
tc_305,concat_tc_305
tc_306,concat_tc_306
tc_307,concat_tc_307
tc_308,concat_tc_308
