query_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
5,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
14,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
15,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
22,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1
27,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1
30,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
31,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
32,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
