query_id,doc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5299,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
2,5505,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3,5435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5322,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,3493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1031,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
10,3690,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,4970,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,2939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,2852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,3928,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,5425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1264,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
19,1480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,2431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,4675,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1
23,3372,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,4373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1344,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
26,4610,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
27,396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,4054,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1
29,2599,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
30,3309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,2303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,2569,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
33,5038,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,3510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,2230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,3395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,4921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,3934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,5493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,3829,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
42,2410,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
43,5601,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
44,390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,4957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,203,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0
47,4616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,2726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,3851,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,5113,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
51,3385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,2358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,3599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1207,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
56,1823,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1
57,5017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,610,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1943,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
60,498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,4442,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
62,4718,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,213,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,5504,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0
65,268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,5029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,1907,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1
70,5506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,1888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,3907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,1991,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
75,1824,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,2526,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1
77,2675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,4253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,3801,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
81,1197,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1
82,718,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,5596,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0
84,136,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
85,4484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,1066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,4392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,5274,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,1895,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
90,1490,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
91,2984,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
92,2850,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
93,978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,338,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
96,1645,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
97,4773,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
98,1410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,5153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,2500,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
101,3901,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
102,2916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,4831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,2983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,1553,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
106,4802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,4057,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1
108,2368,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
109,5123,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1
110,2359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,5032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,4039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,2641,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
116,3167,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
117,3659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,1529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,4457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,3293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,4099,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1
122,3873,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1
123,3949,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1
124,3909,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
125,659,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
126,2391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,4894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,1800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,112,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1
130,4269,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1
131,5618,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
132,2382,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1
133,2712,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
134,2192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,613,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,5626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,3571,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
138,2821,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
139,246,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
140,1719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,5542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,2104,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
143,5120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,521,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,1278,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1
147,2351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,4082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,1198,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
150,5192,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
151,3983,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
152,3059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,3878,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
154,2934,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
155,3881,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
156,2089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,1695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,4934,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,2616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,1495,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
161,1634,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,2458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,5176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,4487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,2499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,1898,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,4796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,4793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,5434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,4510,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,559,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,3398,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,4462,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
175,2246,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
176,2831,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1
177,5538,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
178,387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,4030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,1498,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
181,3860,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,4271,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,595,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
185,757,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1
186,4188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,2451,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,3638,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
190,5584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,1577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
